header,title,descripcion,marca,categoria,ean,peso,unidades,precio,imagen
Multiherramienta-20v-(sin-bateria-y-cargador)-koma-tools-pro-series-battery-edm,Multiherramienta 20v (sin bateria y cargador) koma tools pro series battery edm,"Multiherramienta 20v (no incluye bateria y cargador) koma tools pro series battery edm - velocidad variable de 11000 a 21000 rpm - angulo de oscilacion de 3,2 grados - sistema de cambio de cuchilla de liberacion rapida - dimensiones: 31,3 x 11 cm - accesorios: 1 almohadilla de lijado - 1 hoja de lija - 1 raspador - 1 sierra",KOMA TOOLS,Herramientas eléctricas,8425998087659,1274,134,59.95,https://api.elektro3.com/images/products/08765.jpg
Amoladora-125mm-20v-brushless-(sin-bateria-y-cargador)-koma-tools-pro-series-battery-edm,Amoladora 125mm 20v brushless (sin bateria y cargador) koma tools pro series battery edm,"Amoladora 20v brushless (sin escobillas) - no incluye bateria y cargador - 8500 rpm - protector para disco de ø125mm (disco no incluido) - interruptor de seguridad - dimensiones : 37,5 x 12 cm - para un funcionamiento optimo de este artículo se aconseja utilizar una batería ref. 08771 - accesorios : mango adicional + 1 llave para canviar el disco - edm",KOMA TOOLS,Herramientas eléctricas,8425998087666,2056,499,99.95,https://api.elektro3.com/images/products/08766.jpg
Bateria-litio-20v-5.0ah-koma-tools-pro-series-battery-edm,Bateria litio 20v 5.0ah koma tools pro series battery edm,"Bateria li-on de 20v 5,0 ah - con indicador de carga - tiempo de carga 70 minutos con cargador 125w referencia 08773 y 140 minutos con cargador 60w referencia 08772 - dimensiones : 11,7 x 7,5 x 6,3 cm - totalmente compatible entre toda la gama koma tools - edm",KOMA TOOLS,Herramientas eléctricas,8425998087741,742,0,94.95,https://api.elektro3.com/images/products/08774.jpg
Hidrolimpiadora-karcher-k3-promo,Hidrolimpiadora karcher k3 promo,"Hidrolimpiadora karcher k3 promo presion 120 bar, caudal 380l/h, potencia 1,6kw,  peso 8,11kg tamaño: 49,3x29,3x31,9cm, accesorios incluidos: pistola clip entry, lanza y boquilla turbo, manguera de alta presion 6mts servicio tecnico: españa https://www.kaercher.com/es/servicios/ayuda/busqueda-de-servicio-tecnico.html",KOMA TOOLS,Herramientas eléctricas,4039784819320,0,33,111.99,https://api.elektro3.com/images/products/84000.jpg
Aspirador-soplador-20v--(sin-bateria-y-cargador)-koma-tools-pro-series-battery-edm,Aspirador soplador 20v  (sin bateria y cargador) koma tools pro series battery edm,Aspirador soplador 20v  (sin bateria y cargador) koma tools pro series battery edm bolsa incluida,KOMA TOOLS,Herramientas eléctricas,8425998087673,0,0,54.95,https://api.elektro3.com/images/products/08767.jpg
Bomba-400w-agua-limpia-koma-tools,Bomba 400w agua limpia koma tools,"Bomba 400w agua limpia koma tools 230-50hz max. caudal 8.000l/hora, altura maxima 7mts, profundidas de aspiracion maxima: 7mts, 10mts de cable, tamaño de las particulas absorbidas 5mm.",KOMA TOOLS,Herramientas eléctricas,8425998087901,0,0,49.95,https://api.elektro3.com/images/products/08790.jpg
Bomba-500w-inox-agua-limpia-koma-tools,Bomba 500w inox agua limpia koma tools,"Bomba 500w inox agua limpia koma tools 230-50hz max. caudal 10.000l/hora, altura maxima 8mts, profundidas de aspiracion maxima: 7mts,10mts de cable, tamaño de las particulas absorbidas 5mm.",KOMA TOOLS,Herramientas eléctricas,8425998087918,0,0,62.95,https://api.elektro3.com/images/products/08791.jpg
Bomba-400w-agua-sucia-koma-tools,Bomba 400w agua sucia koma tools,"Bomba 400w agua sucia koma tools  max. caudal 8.000l/hora, altura maxima 5mts, profundidas de aspiracion maxima: 7mts,10mts de cable, tamaño de las particulas absorbidas 35mm.",KOMA TOOLS,Herramientas eléctricas,8425998087925,0,0,49.95,https://api.elektro3.com/images/products/08792.jpg
"Atornillador-a-bateria-3,6v-litio-1300mah-edm","Atornillador a bateria 3,6v litio 1300mah edm","Atornillador a bateria 3,6v litio 1300mah edm tamaño: 17,5x14,8cm, antideslizante,cargador incluido, luz led,velocidad regulable, 6 posiciones de apriete.",KOMA TOOLS,Herramientas eléctricas,8425998087222,614,1000,24.99,https://api.elektro3.com/images/products/08722.jpg
Recambio-almohadilla-para-08753-koma-tools,Recambio almohadilla para 08753 koma tools,Recambio almohadilla para 08753 koma tools,KOMA TOOLS,Herramientas eléctricas,8425998087864,0,29,4.99,https://api.elektro3.com/images/products/08786.jpg
